Country Name,2018 [YR2018],2019 [YR2019]
Brazil,14.6349994952986,14.1229191903622
France,31.7136672102555,31.5920554143668
Germany,47.3088591421652,47.1275808768289
Monaco,..,..
Switzerland,67.4781861031999,66.9653936798419
Ukraine,45.2352356625927,41.2316912560049
United States,12.2871107596266,11.7950067827852
